season_start_year,season_end_year,species,artist,stamp_link
1997,1998,Canada goose,Robert Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1997-1998.php
1998,1999,Barrow's goldeneye,Robert Steiner,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1998-1999.php
1999,2000,Greater scaup,James Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-1999-2000.php
2000,2001,Mottled duck,Adam Grimm,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2000-2001.php
2001,2002,Northern pintail,Robert Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2001-2002.php
2002,2003,Black scoter,Joseph Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2002-2003.php
2003,2004,Snow goose,Ron Louque,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2003-2004.php
2004,2005,Redhead,Scot Storm,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2004-2005.php
2005,2006,Hooded merganser,Mark Anderson,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2005-2006.php
2006,2007,Ross's goose,Sherrie Russel Meline,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2006-2007.php
2007,2008,Ring-necked duck,Richard Clifton,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2007-2008.php
2008,2009,Northern pintail,Joseph Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2008-2009.php
2009,2010,Long-tailed duck,Joshua Spies,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2009-2010.php
2010,2011,American wigeon,Robert Bealle,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2010-2011.php
2011,2012,Greater white-fronted goose,James Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2011-2012.php
2012,2013,Wood duck,Joseph Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2012-2013.php
2013,2014,Common goldeneye,Robert Steiner,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2013-2014.php
2014,2015,Canvasback,Adam Grimm,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2014-2015.php
2015,2016,Ruddy duck,Jennifer Miller,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2015-2016.php
2016,2017,Trumpeter swan,Joseph Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2016-2017.php
2017,2018,Canada goose,James Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2017-2018.php
2018,2019,Mallard,Robert Hautman,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2018-2019.php
2019,2020,Wood duck,Scot Storm,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2019-2020.php
2020,2021,Black-bellied whistling duck,Eddie LeRoy,https://www.fws.gov/birds/get-involved/duck-stamp/federal-duck-stamp-gallery-2020-2021.php
2021,2022,Lesser scaup,Richard Clifton,https://www.fws.gov/birds/news/2009280duck-stamp.php
